pizza_name,category,ingredients
바비큐 치킨 피자,치킨,"치킨, 피망, 토마토, 적양파, 바비큐 소스"
타이 치킨 피자,치킨,"치킨, 파인애플, 토마토, 피망, 타이 칠리 소스"
빅 미트 피자,클래식,"베이컨, 토마토, 페퍼로니, 살라미, 초리조"
클래식 디럭스 피자,클래식,"토마토, 페퍼로니, 버섯, 적양파, 피망, 베이컨"
슈퍼 슈프림 피자,클래식,"페퍼로니, 토마토, 적양파, 그린 올리브, 옥수수, 마늘"
페퍼로니 피자,클래식,"토마토, 모짜렐라 치즈, 페퍼로니"
포테이토 피자,스페셜,"모짜렐라 치즈, 토마토, 감자, 양파, 베이컨, 옥수수, 마요네즈"
하와이안 피자,스페셜,"토마토, 베이컨, 파인애플, 모짜렐라 치즈"
불고기 피자,스페셜,"불고기, 불고기 소스, 버섯, 양파, 피망, 모짜렐라 치즈"
프로슈토 루꼴라 피자,스페셜,"프로슈토, 루꼴라, 모짜렐라 치즈"
파이브 치즈 피자,베지테리언,"모짜렐라 치즈, 프로볼로네 치즈, 고다 치즈, 페코리노 치즈, 고르곤졸라 치즈"
그린 가든 피자,베지테리언,"가지, 아티초크, 토마토, 쥬키니, 피망, 마늘, 페스토 소스"
시금치 페스토 피자,베지테리언,"시금치, 아티초크, 토마토, 썬드라이 토마토, 마늘, 페스토 소스"
